用語,正しい意味,不正解1,不正解2,やさしい日本語,インドネシア語,解説,画像ファイル名
DNR,心肺蘇生を行わない意思表示,人生会議,胃ろう,しんぱいそせいをおこなわない いしひょうじ,Do Not Resuscitate,心肺停止時に心臓マッサージや人工呼吸を行わないという事前の合意です。,no.png
DNAR,心肺停止時に蘇生を行わない指示,人生会議,中心静脈カテーテル,しんぱいていしじに そせいをおこなわない しじ,Do Not Attempt Resuscitation,DNRとほぼ同義で、医師が出す蘇生不開始の指示のことです。,no.png
ACP,人生会議（将来の医療・ケアの話し合い）,心肺蘇生を行わない意思表示,胃ろう,これからの いりょうを はなしあうこと,Advance Care Planning / Rapat Perencanaan Perawatan,将来受けたい医療やケアについて、本人や家族、専門職があらかじめ話し合うプロセスです。,no.png
PEG,胃ろう,中心静脈カテーテル,経鼻胃管,おなかに あなをあけて えいようをいれること,Gastrostomi / PEG,お腹に小さな穴を開け、チューブで胃に直接栄養を送り込む方法です。,no.png
CV,中心静脈カテーテル,埋め込み型中心静脈ポート,経鼻胃管,しんぞうの ちかくの ふといきせる,Kateter Vena Sentral,心臓に近い太い静脈にカテーテルを入れ、高濃度の点滴を行う方法です。,no.png
CVポート,埋め込み型中心静脈ポート,中心静脈カテーテル,経鼻胃管,皮膚のしたに うめる 点滴のいりぐち,Port Vena Sentral Implan,点滴をしやすくするため、小さな器具を完全に皮膚の下に埋め込む方法です。,no.png
NGチューブ,経鼻胃管,胃ろう,中心静脈カテーテル,はなから いに いれる チューブ,Selang Nasogastrik (NGT),鼻から胃までチューブを通し、栄養や水分を流し込む方法です。,no.png
SpO₂,血中酸素飽和度,在宅酸素療法,非侵襲的陽圧換気,けつえきのなかの さんその りょう,Saturasi Oksigen (SpO2),血液の中にどれくらい酸素が含まれているかをパーセントで表した数値です。,no.png
HOT,在宅酸素療法,非侵襲的陽圧換気,血中酸素飽和度,いえで さんそを すう ちりょう,Terapi Oksigen di Rumah,慢性呼吸不全の人が、医師の指示のもとで自宅で酸素を吸入する療法です。,no.png
NPPV,非侵襲的陽圧換気,慢性閉塞性肺疾患,心不全,マスクをつける 人工呼吸器,Ventilasi Tekanan Positif Non-Invasif,気管を切開せず、専用のマスクをつけて呼吸をサポートする人工呼吸器です。,no.png
COPD,慢性閉塞性肺疾患,心不全,糖尿病,たばこなどが原因の 呼吸の びょうき,Penyakit Paru Obstruksi Kronis (PPOK),タバコの煙などが原因で気管支や肺が壊れ、息苦しくなる病気です。,no.png
CHF,心不全,糖尿病,高血圧,しんぞうの はたらきが わるくなる じょうたい,Gagal Jantung (CHF),心臓のポンプ機能が低下し、息切れやむくみなどの症状が出る状態です。,no.png
DM,糖尿病,高血圧,慢性腎臓病,けっとうちが たかくなる びょうき,Diabetes Melitus (DM),インスリンの働きが不十分で、血液中の血糖値が慢性的に高くなる病気です。,no.png
HT,高血圧,慢性腎臓病,脳血管障害,けつあつが たかい びょうき,Hipertensi (HT),血管に強い圧力がかかり続け、動脈硬化などの原因になる状態です。,no.png
CKD,慢性腎臓病,脳血管障害,一過性脳虚血発作,じんぞうの はたらきが わるい びょうき,Penyakit Ginjal Kronis (CKD),腎臓の働きが数ヶ月以上にわたって慢性的に低下していく病気です。,no.png
CVA,脳血管障害,一過性脳虚血発作,来院時心肺停止,のうの けっかんの びょうき,Gangguan Serebrovaskular / Stroke,脳の血管が詰まったり（脳梗塞）破れたり（脳出血）する病気の総称です。,no.png
TIA,一過性脳虚血発作,来院時心肺停止,体格指数,のうこうそくの まえぶれとなる 症状,Serangan Iskemik Sementara (TIA),脳の血管が一時的に詰まり、数分〜数時間で症状が消える脳梗塞の前触れです。,no.png
DOA,来院時心肺停止,体格指数,栄養サポートチーム,びょういんに ついたときに 心臓がとまっていること,Dead on Arrival (DOA),病院に到着した時点で、すでに心肺機能が停止している状態のことです。,no.png
BMI,体格指数,栄養サポートチーム,感染対策チーム,からだの ふとりぐあいを あらわす すうち,Indeks Massa Tubuh (BMI),体重(kg)を身長(m)の2乗で割って算出する、肥満度を表す世界共通の指標です。,no.png
NST,栄養サポートチーム,感染対策チーム,床ずれの重症度評価,えいようを サポートする せんもんかチーム,Tim Dukungan Nutrisi (NST),医師や管理栄養士、看護師などが協力して利用者の栄養管理を行うチームです。,no.png
ICT,感染対策チーム,床ずれの重症度評価,チューブによる栄養投与,かんせんしょうを ふせぐ チーム,Tim Pengendali Infeksi (ICT),病院や施設内で感染症が発生するのを防ぎ、対策を行う専門職のチームです。,no.png
褥瘡評価,床ずれの重症度評価,チューブによる栄養投与,消化管を利用した栄養管理,とこずれの おもさを しらべること,Evaluasi Luka Tekan / Dekubitus,褥瘡（床ずれ）がどれくらい深く、重症であるかを点数などで評価することです。,no.png
経管栄養,チューブによる栄養投与,消化管を利用した栄養管理,点滴による栄養管理,チューブで えいようを いれること,Nutrisi Enteral lewat Selang,口から食事が摂れない際、チューブを使って胃や腸に直接栄養を入れる方法です。,no.png
経腸栄養,消化管を利用した栄養管理,点滴による栄養管理,加齢による筋肉量・筋力低下,ちょうを つかって えいようを いれること,Nutrisi Enteral,胃や腸などの消化器官が動いている場合に、そこを利用して行う栄養補給法です。,no.png
静脈栄養,点滴による栄養管理,加齢による筋肉量・筋力低下,加齢による心身の虚弱状態,てんてきで えいようを いれること,Nutrisi Parenteral / Intravena,消化器官が使えない場合に、静脈の注射（点滴）から高い栄養を入れる方法です。,no.png
サルコペニア,加齢による筋肉量・筋力低下,加齢による心身の虚弱状態,人生の最終段階の支援,としをとって 筋肉が へること,Sarkopenia,加齢や病気が原因で、全身の筋肉量や筋力が大幅に低下した状態です。,no.png
フレイル,加齢による心身の虚弱状態,人生の最終段階の支援,複数の専門職が協力すること,としをとって からだが よわった じょうたい,Frailty / Kerapuhan,健康な状態と要介護状態のちょうど中間に位置する、心身が衰えた状態です。,no.png
エンドオブライフケア,人生の最終段階の支援,複数の専門職が協力すること,事故やトラブルを未然に防ぐ管理,さいごの ときを ささえる ケア,Perawatan Akhir Hayat (End-of-life care),病気の有無に関わらず、人生の終わりの時期を穏やかに過ごせるよう行う支援です。,no.png
多職種連携,複数の専門職が協力すること,事故やトラブルを未然に防ぐ管理,心肺蘇生を行わない意思表示,いろんな せんもんかが きょうりょくすること,Kolaborasi Antar-Profesi,医師、看護師、介護職、ケアマネなどがチームになって一人の利用者を支えることです。,no.png
